Date,Price,Open,High,Low,Vol.,Change %
2019-12-26,"4,418.83","4,418.83","4,418.83","4,418.83",-,0.64%
2019-12-24,"4,390.67","4,390.67","4,390.67","4,390.67",-,-0.09%
2019-12-23,"4,394.44","4,394.44","4,394.44","4,394.44",-,-0.82%
2019-12-22,"4,430.95","4,430.95","4,430.95","4,430.95",-,-0.58%
2019-12-19,"4,456.83","4,456.83","4,456.83","4,456.83",-,0.88%
2019-12-18,"4,417.95","4,417.95","4,417.95","4,417.95",-,-0.04%
2019-12-17,"4,419.82","4,419.82","4,419.82","4,419.82",-,-1.75%
2019-12-15,"4,498.49","4,498.49","4,498.49","4,498.49",-,-0.35%
2019-12-12,"4,514.44","4,514.44","4,514.44","4,514.44",-,0.05%
2019-12-11,"4,512.39","4,512.39","4,512.39","4,512.39",-,0.12%
2019-12-10,"4,506.93","4,506.93","4,506.93","4,506.93",-,-0.59%
